velocidad_bala,distancia,salto
-6.0,556.0,0
-6.0,550.0,0
-6.0,544.0,0
-6.0,538.0,0
-6.0,532.0,0
-6.0,526.0,0
-6.0,520.0,0
-6.0,514.0,0
-6.0,508.0,0
-6.0,502.0,0
-6.0,496.0,0
-6.0,490.0,0
-6.0,484.0,0
-6.0,478.0,0
-6.0,472.0,0
-6.0,466.0,0
-6.0,460.0,0
-6.0,454.0,0
-6.0,448.0,0
-6.0,442.0,0
-6.0,436.0,0
-6.0,430.0,0
-6.0,424.0,0
-6.0,418.0,0
-6.0,412.0,0
-6.0,406.0,0
-6.0,400.0,0
-6.0,394.0,0
-6.0,388.0,0
-6.0,382.0,0
-6.0,376.0,0
-6.0,370.0,0
-6.0,364.0,0
-6.0,358.0,0
-6.0,352.0,0
-6.0,346.0,0
-6.0,340.0,0
-6.0,334.0,0
-6.0,328.0,0
-6.0,322.0,0
-6.0,316.0,0
-6.0,310.0,0
-6.0,304.0,0
-6.0,298.0,0
-6.0,292.0,0
-6.0,286.0,0
-6.0,280.0,0
-6.0,274.0,0
-6.0,268.0,0
-6.0,262.0,0
-6.0,256.0,0
-6.0,250.0,0
-6.0,244.0,0
-6.0,238.0,0
-6.0,232.0,0
-6.0,226.0,0
-6.0,220.0,0
-6.0,214.0,0
-6.0,208.0,0
-6.0,202.0,0
-6.0,196.0,0
-6.0,190.0,0
-6.0,184.0,0
-6.0,178.0,0
-6.0,172.0,0
-6.0,166.0,0
-6.0,160.0,0
-6.0,154.0,0
-6.0,148.0,0
-6.0,142.0,0
-6.0,136.0,0
-6.0,130.0,0
-6.0,124.0,1
-6.0,118.0,1
-6.0,112.0,1
-6.0,106.0,1
-6.0,100.0,1
-6.0,94.0,1
-6.0,88.0,1
-6.0,82.0,1
-6.0,76.0,1
-6.0,70.0,1
-6.0,64.0,1
-6.0,58.0,1
-6.0,52.0,1
-6.0,46.0,1
-6.0,40.0,1
-6.0,34.0,1
-6.0,28.0,1
-6.0,22.0,1
-6.0,16.0,1
-6.0,10.0,1
-6.0,4.0,1
-6.0,2.0,1
-6.0,8.0,1
-6.0,14.0,1
-6.0,20.0,1
-6.0,26.0,1
-6.0,32.0,1
-6.0,38.0,1
-6.0,44.0,1
-6.0,50.0,1
-6.0,56.0,1
